title,lead,director,genre,revenue,budget,profit_ratio,director_average_profit_ratio,lead_average_profit_ratio,lead_worked_in_genre_count,director_worked_in_genre_count,director_worked_with_lead_count
The Darkness,95,1382,10,10898293,4000000,2.72457325,1.964189375,3.248980917,2,2,1
Scanners,662,359,10,14225876,4100000,3.469725854,1.584826181,3.469725854,1,4,1
The Robe,677,759,6,36000000,4100000,8.780487805,4.872276999,5.169253511,2,1,1
Red Dawn,460,267,4,38376497,4200000,9.13726119,4.414757584,3.29869918,3,1,1
Night of the Living Dead,755,837,10,5835247,4200000,1.389344524,1.389344524,1.389344524,1,1,1
Mindscape,872,1352,12,1200000,4357373,0.27539529,0.27539529,0.374990095,1,1,1
Mambo Italiano,704,781,3,3031801,4361898,0.695064626,0.695064626,0.695064626,1,1,1
Bound,153,188,7,7011317,4500000,1.558070444,1.558070444,1.558070444,1,1,1
Secrets & Lies,178,210,6,13417292,4500000,2.981620444,2.623576597,2.981620444,1,1,1
The Blue Lagoon,429,351,13,58853106,4500000,13.078468,5.676751671,13.078468,1,1,1
Fast Times at Ridgemont High,252,494,3,27092880,4500000,6.02064,3.209830313,2.636630479,1,2,1
Requiem for a Dream,516,572,7,7390108,4500000,1.642246222,3.176731542,1.642246222,1,1,1
Moby Dick,488,227,2,10400000,4500000,2.311111111,2.408540075,3.563888889,1,2,1
Critters 2,559,623,3,3813293,4500000,0.847398444,0.847398444,0.627551597,1,1,1
The Big Red One,428,653,6,7206220,4500000,1.601382222,1.601382222,3.213552503,2,1,1
Silent Rage,498,665,4,10500000,4500000,2.333333333,2.333333333,2.522912795,4,1,1
After Hours,743,10,3,10609321,4500000,2.357626889,2.209111404,2.357626889,1,1,1
From Beyond,753,834,10,1261000,4500000,0.280222222,0.561307424,0.280222222,1,1,1
After.Life,45,1157,6,3606395,4500000,0.801421111,0.801421111,4.34228698,3,1,1
The Silver Chalice,1042,1165,6,3200000,4500000,0.711111111,0.711111111,0.711111111,1,1,1
10 to Midnight,456,546,10,7175592,4520000,1.587520354,3.20209351,2.599196223,1,1,1
The King and I,392,435,6,21300000,4550000,4.681318681,4.681318681,4.681318681,1,1,1
4.3.2.1,854,1260,4,1163967,4600000,0.253036304,0.253036304,1.968396781,1,1,1
The Way Way Back,1156,1309,3,23198652,4600000,5.043185217,5.043185217,5.043185217,1,1,1
Pat Garrett & Billy the Kid,750,762,17,11000000,4638783,2.371311613,1.772920064,1.404405807,1,1,1
El Dorado,471,522,17,6000000,4653000,1.289490651,2.146745326,1.741304745,4,2,2
The Texas Chainsaw Massacre 2,375,343,10,8025872,4700000,1.70763234,4.511749446,1.70763234,1,2,1
Original Gangstas,138,170,4,3014000,4800000,0.627916667,0.627916667,0.627916667,1,1,1
American Gigolo,126,410,12,22743674,4800000,4.738265417,2.029285091,2.102684389,2,1,1
Only God Forgives,922,1206,6,10337387,4800000,2.153622292,2.515907859,3.579463231,5,2,2
Austenland,1150,1320,3,2159041,4900000,0.440620612,0.440620612,3.816641163,1,1,1
Mommy,1216,1394,6,3494070,4900000,0.71307551,0.71307551,0.71307551,1,1,1
Heavenly Creatures,65,78,6,3049135,5000000,0.609827,1.009107568,0.609827,1,1,1
Bitter Moon,84,103,12,1862805,5000000,0.372561,2.771370712,1.580100425,1,2,1
Lone Star,141,176,6,13269963,5000000,2.6539926,1.107935992,1.53704105,2,2,2
Halloween: The Curse of Michael Myers,157,190,10,15116634,5000000,3.0233268,3.0233268,3.408256583,4,1,1
"20,000 Leagues Under the Sea",172,206,2,28200000,5000000,5.64,2.598204489,5.001212121,1,5,1
The Return of the Pink Panther,187,193,11,41833347,5000000,8.3666694,2.60813014,7.002768117,1,1,2
Wishmaster,251,277,10,15719109,5000000,3.1438218,3.1438218,3.1438218,1,1,1
The Sweet Hereafter,264,295,6,3263585,5000000,0.652717,0.608340433,0.652717,1,2,1
Zero Effect,234,310,3,1980338,5000000,0.3960676,3.720256774,1.386670693,1,4,1
The Opposite of Sex,18,316,3,5879254,5000000,1.1758508,1.87556261,3.072582671,2,1,1
A Nightmare on Elm Street 3: Dream Warriors,290,331,10,44793222,5000000,8.9586444,4.049433221,6.514508158,6,2,1
Friday the 13th Part VIII: Jason Takes Manhattan,295,336,10,14000000,5000000,2.8,2.8,4.125047452,3,1,1
Halloween 4: The Return of Michael Myers,157,246,10,17768757,5000000,3.5537514,3.094019383,3.408256583,4,1,1
Halloween 5: The Revenge of Michael Myers,157,339,10,11642254,5000000,2.3284508,2.3284508,3.408256583,4,1,1
Cheetah,310,349,6,8153677,5000000,1.6307354,1.6307354,1.6307354,1,1,1
Cujo,324,361,10,21200000,5000000,4.24,4.055464,4.24,1,1,1
The Gods Must Be Crazy,334,366,4,60000000,5000000,12.0,12.0,12.0,1,1,1
Your Friends & Neighbors,338,370,6,4710749,5000000,0.9421498,1.206666764,0.9421498,1,3,1
The Elephant Man,8,254,6,26010864,5000000,5.2021728,1.562204533,2.077879712,5,3,1
Desperately Seeking Susan,232,395,3,27400000,5000000,5.48,5.48,2.365364553,2,1,1
It Came from Hollywood,197,444,3,2091037,5000000,0.4182074,0.4119649,1.805900103,3,1,1
