id,director
1303,Don Scardino
1304,Harmony Korine
1305,Fede Alvarez
1306,Henry Alex Rubin
1307,Seth Rogen
1308,Rob Epstein
1309,Jim Rash
1310,Justin Zackham
1311,Giuseppe Tornatore
1312,Steven Knight
1313,James Ponsoldt
1314,Declan Lowney
1315,Keanu Reeves
1316,Klay Hall
1317,Scott Walker
1318,Dito Montiel
1319,Denis Villeneuve
1320,Jerusha Hess
1321,Benson Lee
1322,Cody Cameron
1323,Jon S. Baird
1324,David E. Talbert
1325,Ken Scott
1326,Justin Chadwick
1327,Josh Schwartz
1328,Philipp Stölzl
1329,Vladimir Grammatikov
1330,Jonathan Teplitzky
1331,Matt Bettinelli-Olpin
1332,Robert Resnikoff
1333,Jay Oliva
1334,Yılmaz Erdoğan
1335,Akiva Goldsman
1336,Tom Gormican
1337,Jonathan Glazer
1338,Scott Waugh
1339,Rob Thomas
1340,Jason Bateman
1341,Christopher Spencer
1342,Guillaume Canet
1343,Mike Flanagan
1344,Harold Cronk
1345,Camille Delamarre
1346,Amma Asante
1347,Jon Erwin
1348,Dan St. Pierre
1349,John Carney
1350,Don McKellar
1351,Kasi Lemmons
1352,Jorge Dorado
1353,Roberts Gannaway
1354,Ben Kellett
1355,Ben Falcone
1356,Damien Chazelle
1357,James DeMonaco
1358,Patrick Hughes
1359,Dave Green
1360,Trish Sie
1361,David Michôd
1362,R.J. Cutler
1363,Grégory Levasseur
1364,Adam Wingard
1365,Rowan Joffe
1366,Michaël R. Roskam
1367,Wes Ball
1368,Sam Miller
1369,Israel Horovitz
1370,Anthony Stacchi
1371,Gary Shore
1372,Brian A Miller
1373,Michael Hoffman
1374,Chad Stahelski
1375,Theodore Melfi
1376,Vic Armstrong
1377,Dan Gilroy
1378,Tibor Hernádi
1379,Jorge R. Gutierrez
1380,Alex Garland
1381,Chu Yen-ping
1382,Greg McLean
1383,Neil Nightingale
1384,Philippe Caland
1385,James Marsh
1386,Russell Crowe
1387,Richard Glatzer
1388,Paul King
1389,Olivier Assayas
1390,Michael Cuesta
1391,Ava DuVernay
1392,Angelina Jolie
1393,Anthony Silverston
1394,Xavier Dolan
1395,Sergei Bodrov
1396,Ron Krauss
1397,Anthony Leonardi III
1398,Andrei Kavun
1399,Leigh Whannell
1400,S. Lee Pogostin
1401,Rupert Wyatt
1402,Ari Sandel
1403,Dean Israelite
1404,Ramin Bahrani
1405,Liv Ullmann
1406,Erik Van Looy
1407,Jeremy Garelick
1408,Paul Tibbitt
1409,Will Canon
1410,Noah Baumbach
1411,Saul Dibb
1412,Jalmari Helander
1413,Andrea Di Stefano
1414,John Derek
1415,Etan Cohen
1416,Maya Forbes
1417,Lee Toland Krieger
1418,Dan Fogelman
1419,Jim Wilson
1420,Aleksander Bach
1421,Elizabeth Banks
1422,Yorgos Lanthimos
1423,Doug Ellin
1424,Alejandro Monteverde
1425,Michael Dougherty
1426,Sanjay Gadhvi
1427,Seth MacFarlane
1428,Burny Mattinson
1429,Justin Kurzel
1430,John Francis Daley
1431,Leena Yadav
1432,Marius Balchunas
1433,Gregory Jacobs
1434,Michael G. Bartlett
1435,Duke Johnson
1436,Florian Gallenberger
1437,Mark Neveldine
1438,Lenny Abrahamson
1439,Joel Edgerton
1440,Robert Eggers
1441,Ciaran Foy
1442,Vladimir Bortko
1443,Drake Doremus
1444,Christopher B. Landon
1445,Sarah Gavron
1446,Max Joseph
1447,Tom Hooper
1448,Jeremy Saulnier
1449,Cary Fukunaga
1450,Ilya Naishuller
1451,Mark Osborne
1452,Rob Letterman
1453,David M. Rosenthal
1454,Gregory Plotkin
1455,Patricia Riggen
1456,Peter Landesman
1457,Steve Martino
1458,Ryan Coogler
1459,Scott Mann
1460,J Blakeson
1461,James Vanderbilt
1462,Christian Ditter
1463,Mark DiSalle
1464,Michael Tiddes
1465,Tom Ford
1466,Andrew Erwin
1467,Jason Zada
1468,Trevor Wall
1469,Dexter Fletcher
1470,Dan Mazer
1471,Nate Parker
1472,Thea Sharrock
1473,Dan Trachtenberg
1474,Babak Najafi
1475,Cyrus Nowrasteh
1476,Abbas Tyrewala
1477,Noel Marshall
1478,Marc Abraham
1479,Peter Atencio
1480,Whit Stillman
1481,Jodie Foster
1482,Ross Katz
1483,Fergal Reilly
1484,Vishnuvardhan
1485,Jericca Cleland
1486,Conrad Vernon
1487,Matt Ross
1488,Dan Kwan
1489,Jake Szymanski
1490,David Lowery
1491,Henry Joost
1492,Sam Liu
1493,Johannes Roberts
1494,Dinesh D'Souza
1495,Kelly Fremon Craig
1496,Sean Ellis
1497,Simon Verhoeven
1498,Dennis Gansel
1499,Steven Hahn
1500,Travis Knight
1501,Luke Scott
1502,Russell Holt
1503,Sterling Van Wagenen
1504,Doug Sweetland
1505,Mick Jackson
1506,Kenneth Lonergan
1507,Garth Davis
1508,Farren Blackburn
1509,Pablo Larraín
1510,Anna Foerster
1511,Eran Creevy
1512,Baran bo Odar
1513,Stacy Title
1514,Chris McKay
1515,Jon Cassar
1516,F. Javier Gutiérrez
1517,Ry Russo-Young
1518,Stuart Hazeldine
1519,Ben Wheatley
1520,Dax Shepard
1521,Jeffrey Blitz
1522,Denise Di Novi
1523,David Soren
1524,Colin Trevorrow
1525,Justin Barber
1526,Lucia Aniello
1527,Eleanor Coppola
1528,Luis Prieto
1529,David Leitch
1530,Robert Clouse
1531,Nikolaj Arcel
