id,genre
1,Animation
2,Adventure
3,Comedy
4,Action
5,History
6,Drama
7,Crime
8,Science Fiction
9,Fantasy
10,Horror
11,Mystery
12,Thriller
13,Romance
14,Family
15,War
16,Music
17,Western
18,Documentary
19,TV Movie
